date,id_bat,conso
2014-01-01,P530B1,513.14159977
2014-01-01,P530B3,218.871686537
2014-01-01,P530B4,189.265569973
2014-01-01,P530B5,156.801086795
2014-01-01,P530B6,394.935380297
2014-01-01,P530B7,445.643058395
2014-01-01,P530B8,223.211640406
2014-01-01,P530B9,366.05302905
2014-01-01,P531B1,268.609562916
2014-01-01,P531B2,256.978192814
2014-01-01,P531B3,366.242837421
2014-01-01,P531B5,186.152616542
2014-01-01,P531B6,349.210146394
2014-01-01,P531B7,412.867245502
2014-01-01,P531B8,170.679235151
2014-01-01,P531B9,253.318385751
2014-01-01,P532B1,39.138496033
2014-01-01,P532B2,367.128435651
2014-01-01,P532B4,344.265586597
2014-01-01,P532B6,222.616703015
2014-01-01,P532B7,232.289722672
2014-01-01,P532B8,342.395042185
2014-01-01,P532B9,195.252769986
2014-01-01,P533B1,298.240868375
2014-01-01,P533B2,268.986984882
2014-01-01,P533B3,184.344656627
2014-01-01,P533B4,161.338567007
2014-01-01,P533B6,102.937610212
2014-01-01,P533B7,406.837970435
2014-01-01,P533B8,248.014627064
2014-01-01,P533B9,317.576152406
2014-01-01,P534B0,256.041182789
2014-01-01,P534B1,370.776644669
2014-01-01,P534B2,106.576926966
2014-01-01,P534B3,391.368238965
2014-01-01,P534B4,309.478586148
2014-01-01,P534B5,555.504294522
2014-01-01,P534B6,181.247349867
2014-01-01,P534B7,492.158142278
2014-01-01,P534B8,236.927226398
2014-01-01,P534B9,216.165951736
2014-01-02,P530B1,346.900672356
2014-01-02,P530B2,99.9280224858
2014-01-02,P530B3,440.246769473
2014-01-02,P530B4,148.927852516
2014-01-02,P530B5,360.316310176
2014-01-02,P530B6,257.680330756
2014-01-02,P530B8,340.547220745
2014-01-02,P530B9,106.163309167
2014-01-02,P531B1,274.183431892
2014-01-02,P531B2,275.264406512
2014-01-02,P531B3,231.387406531
2014-01-02,P531B4,131.217431893
2014-01-02,P531B5,209.618123683
2014-01-02,P531B6,279.153984527
2014-01-02,P531B7,376.389183278
2014-01-02,P531B8,269.654573421
2014-01-02,P531B9,377.043923215
2014-01-02,P532B0,253.425428641
2014-01-02,P532B2,358.16229464
2014-01-02,P532B3,328.585556452
2014-01-02,P532B4,377.960823159
2014-01-02,P532B5,204.27509759
2014-01-02,P532B6,452.334936654
2014-01-02,P532B8,203.156395394
2014-01-02,P532B9,337.096518389
2014-01-02,P533B0,361.128139028
2014-01-02,P533B1,266.096382229
2014-01-02,P533B3,166.008108214
2014-01-02,P533B4,328.259928614
2014-01-02,P533B5,376.998747347
2014-01-02,P533B6,241.621889734
2014-01-02,P533B7,364.717882105
2014-01-02,P533B8,237.57455265
2014-01-02,P533B9,298.632469553
2014-01-02,P534B0,186.668283616
2014-01-02,P534B2,237.566015796
2014-01-02,P534B3,181.63434122
2014-01-02,P534B4,315.503785844
2014-01-02,P534B5,206.619428422
2014-01-02,P534B6,332.675281545
2014-01-02,P534B8,301.875850283
2014-01-02,P534B9,226.607131687
2014-01-03,P530B0,394.308427604
2014-01-03,P530B1,381.642247353
2014-01-03,P530B2,226.300645724
2014-01-03,P530B3,250.791425377
2014-01-03,P530B4,368.618399468
2014-01-03,P530B5,411.643690584
2014-01-03,P530B6,222.962349111
2014-01-03,P530B7,277.425404733
2014-01-03,P530B8,305.546717246
2014-01-03,P530B9,168.911831198
2014-01-03,P531B0,346.237528204
2014-01-03,P531B1,371.486567667
2014-01-03,P531B2,177.764914507
2014-01-03,P531B4,270.949294877
2014-01-03,P531B5,299.632762232
2014-01-03,P531B6,305.774639548
2014-01-03,P531B7,240.117024885
2014-01-03,P531B9,266.204910138
2014-01-03,P532B0,208.562222556
2014-01-03,P532B2,304.979459309
2014-01-03,P532B3,544.662730173
2014-01-03,P532B4,164.820220851
2014-01-03,P532B5,294.844443672
2014-01-03,P532B6,275.330199557
2014-01-03,P532B8,164.830616067
2014-01-03,P532B9,452.883302191
2014-01-03,P533B0,192.322036698
2014-01-03,P533B1,236.671356063
2014-01-03,P533B2,195.600619468
2014-01-03,P533B4,285.555334773
2014-01-03,P533B5,311.117895841
2014-01-03,P533B6,336.376620188
2014-01-03,P533B7,294.787749708
2014-01-03,P533B8,311.125458594
2014-01-03,P533B9,432.014920578
2014-01-03,P534B0,344.294024141
2014-01-03,P534B1,304.528203102
2014-01-03,P534B2,378.071060486
2014-01-03,P534B3,309.315405525
2014-01-03,P534B4,285.002237561
2014-01-03,P534B5,157.84759881
2014-01-03,P534B6,343.207354734
2014-01-03,P534B7,419.689191245
2014-01-03,P534B8,245.431332039
2014-01-03,P534B9,229.613432233
2014-01-04,P530B0,341.972265151
2014-01-04,P530B2,340.320452956
2014-01-04,P530B3,249.945794573
2014-01-04,P530B4,455.813974766
2014-01-04,P530B5,327.91696586
2014-01-04,P530B6,262.324494729
2014-01-04,P530B7,414.595693802
2014-01-04,P530B8,265.069128987
2014-01-04,P530B9,219.19618191
2014-01-04,P531B0,462.102367689
2014-01-04,P531B1,243.419748954
2014-01-04,P531B2,309.390180831
2014-01-04,P531B3,191.336463781
2014-01-04,P531B4,475.252271676
2014-01-04,P531B5,459.396821575
2014-01-04,P531B6,319.567728386
2014-01-04,P531B7,472.965909705
2014-01-04,P531B8,388.456016927
2014-01-04,P531B9,272.933692342
2014-01-04,P532B0,172.175698162
2014-01-04,P532B1,340.955203732
2014-01-04,P532B3,315.573335966
2014-01-04,P532B4,297.204522499
2014-01-04,P532B5,222.709562491
2014-01-04,P532B6,319.135955947
2014-01-04,P532B7,349.621135054
2014-01-04,P532B8,268.602957711
2014-01-04,P532B9,305.847875199
2014-01-04,P533B0,167.06088613
2014-01-04,P533B1,440.642839748
2014-01-04,P533B2,407.501375935
2014-01-04,P533B3,293.618816409
2014-01-04,P533B4,447.603426415
2014-01-04,P533B5,258.578261084
2014-01-04,P533B6,295.127787835
2014-01-04,P533B7,250.073921948
2014-01-04,P533B8,427.340292043
2014-01-04,P533B9,512.206088709
2014-01-04,P534B0,432.630092552
2014-01-04,P534B1,435.42232448
2014-01-04,P534B2,418.00312084
2014-01-04,P534B3,148.206641344
2014-01-04,P534B5,149.457652882
2014-01-04,P534B6,360.48723581
2014-01-04,P534B7,346.9257752
2014-01-04,P534B8,267.224922876
2014-01-04,P534B9,303.051554135
2014-01-05,P530B0,409.07201242
2014-01-05,P530B1,181.546090185
2014-01-05,P530B2,365.402841635
2014-01-05,P530B3,342.999923226
2014-01-05,P530B4,188.268360245
2014-01-05,P530B5,417.912210567
2014-01-05,P530B6,162.578223333
2014-01-05,P530B8,150.952033709
2014-01-05,P530B9,413.877875621
2014-01-05,P531B0,108.293210552
2014-01-05,P531B1,341.374381597
2014-01-05,P531B2,137.00800709
2014-01-05,P531B3,300.607828076
2014-01-05,P531B5,319.522122276
2014-01-05,P531B6,262.19745084
2014-01-05,P531B7,309.260549357
2014-01-05,P531B8,234.042823408
2014-01-05,P531B9,272.088671978
2014-01-05,P532B0,330.962946423
2014-01-05,P532B1,170.676233542
2014-01-05,P532B2,351.058985108
2014-01-05,P532B3,318.510839813
2014-01-05,P532B4,479.369789628
2014-01-05,P532B5,124.97947671
2014-01-05,P532B6,369.567035665
2014-01-05,P532B7,22.7025375674
2014-01-05,P532B8,398.604573743
2014-01-05,P532B9,293.370775538
2014-01-05,P533B0,144.046102849
2014-01-05,P533B2,276.936647222
2014-01-05,P533B4,498.390691645
2014-01-05,P533B5,227.479594205
2014-01-05,P533B6,524.0483907
2014-01-05,P533B7,139.401159633
2014-01-05,P533B9,378.516105286
2014-01-05,P534B0,209.778605318
2014-01-05,P534B1,286.266085116
2014-01-05,P534B2,261.749005599
2014-01-05,P534B3,372.274404144
2014-01-05,P534B4,248.943513967
2014-01-05,P534B5,434.487933969
2014-01-05,P534B6,331.635835491
2014-01-05,P534B7,415.878442075
2014-01-05,P534B9,211.55813179
2014-01-06,P530B0,143.657546047
2014-01-06,P530B1,93.7981342832
2014-01-06,P530B3,298.809704075
2014-01-06,P530B4,278.783269248
2014-01-06,P530B5,401.922764647
2014-01-06,P530B6,445.846639252
2014-01-06,P530B7,167.301852309
2014-01-06,P530B8,3.83740339418
2014-01-06,P530B9,215.229264293
2014-01-06,P531B0,290.292264732
2014-01-06,P531B1,285.327146605
2014-01-06,P531B2,155.002166564
2014-01-06,P531B3,458.853985103
2014-01-06,P531B4,282.007821011
2014-01-06,P531B5,540.2921597
2014-01-06,P531B6,137.435199314
2014-01-06,P531B7,185.826770079
2014-01-06,P531B8,95.2656800213
2014-01-06,P532B0,394.912417831
2014-01-06,P532B2,292.866770338
2014-01-06,P532B3,208.510064987
2014-01-06,P532B4,310.333187765
2014-01-06,P532B5,346.430382281
2014-01-06,P532B6,266.017869021
2014-01-06,P532B7,365.616107648
2014-01-06,P532B8,269.682474952
2014-01-06,P533B1,472.341321365
2014-01-06,P533B2,158.825540091
2014-01-06,P533B3,375.408731266
2014-01-06,P533B4,242.214749585
2014-01-06,P533B5,157.971201285
2014-01-06,P533B6,233.34130761
2014-01-06,P533B7,511.168557391
2014-01-06,P533B8,395.416365194
2014-01-06,P533B9,186.798350753
2014-01-06,P534B0,92.886332292
2014-01-06,P534B1,322.037610708
2014-01-06,P534B3,302.305364557
2014-01-06,P534B4,342.639030515
2014-01-06,P534B5,401.395582607
2014-01-06,P534B6,176.332209593
2014-01-06,P534B7,369.155902507
2014-01-06,P534B9,393.247805789
2014-01-07,P530B0,473.686628464
2014-01-07,P530B1,318.809719774
2014-01-07,P530B2,220.512324751
2014-01-07,P530B3,260.31086673
2014-01-07,P530B4,360.27008847
2014-01-07,P530B5,-30.5244587782
2014-01-07,P530B6,286.730800553
2014-01-07,P530B7,370.202160383
2014-01-07,P530B8,398.155333742
2014-01-07,P530B9,287.784072513
2014-01-07,P531B0,271.899678968
2014-01-07,P531B1,407.708578713
2014-01-07,P531B2,360.744218842
2014-01-07,P531B3,303.718626609
2014-01-07,P531B4,183.934755791
2014-01-07,P531B5,220.825041993
2014-01-07,P531B6,118.187843867
2014-01-07,P531B7,149.719201064
2014-01-07,P531B8,386.723542214
2014-01-07,P531B9,483.972960301
2014-01-07,P532B1,281.192902849
2014-01-07,P532B2,303.81988365
2014-01-07,P532B3,243.308348535
2014-01-07,P532B4,246.274920117
2014-01-07,P532B5,448.780045014
2014-01-07,P532B6,368.772170002
2014-01-07,P532B7,196.616342751
2014-01-07,P532B8,245.116572627
2014-01-07,P532B9,287.391345194
2014-01-07,P533B0,404.157008063
2014-01-07,P533B1,358.697080108
2014-01-07,P533B2,292.392148398
2014-01-07,P533B3,375.650180059
2014-01-07,P533B4,260.688224773
2014-01-07,P533B5,515.507506778
2014-01-07,P533B6,414.968570322
2014-01-07,P533B7,399.527148769
2014-01-07,P533B8,291.604887963
2014-01-07,P533B9,334.228806949
2014-01-07,P534B0,432.716755488
2014-01-07,P534B1,262.709339674
2014-01-07,P534B2,123.65524212
2014-01-07,P534B3,416.274930436
2014-01-07,P534B4,380.839832369
2014-01-07,P534B5,200.05011476
2014-01-07,P534B6,247.752318264
2014-01-07,P534B7,283.415934451
2014-01-07,P534B8,246.351395578
2014-01-07,P534B9,494.787649741
2014-01-08,P530B0,465.914676052
2014-01-08,P530B1,443.266961257
2014-01-08,P530B2,318.750321531
2014-01-08,P530B3,385.667681445
2014-01-08,P530B4,335.732400688
2014-01-08,P530B5,439.29758967
2014-01-08,P530B6,263.004506036
2014-01-08,P530B7,246.838257618
2014-01-08,P530B8,378.723454122
2014-01-08,P530B9,341.464284492
2014-01-08,P531B0,291.718135753
2014-01-08,P531B1,294.456901761
2014-01-08,P531B2,67.1437427169
2014-01-08,P531B3,223.585583929
2014-01-08,P531B4,413.846896341
2014-01-08,P531B5,283.098337138
2014-01-08,P531B6,143.003906674
2014-01-08,P531B7,66.2959503553
2014-01-08,P531B8,283.559669151
2014-01-08,P531B9,219.41617518
2014-01-08,P532B0,258.794206702
2014-01-08,P532B1,370.511849018
2014-01-08,P532B2,274.545858123
2014-01-08,P532B3,221.377591514
2014-01-08,P532B4,355.233436236
2014-01-08,P532B5,274.595311989
2014-01-08,P532B6,259.683730443
2014-01-08,P532B7,389.062551451
2014-01-08,P532B8,201.978539059
2014-01-08,P532B9,315.452893076
2014-01-08,P533B0,238.005758804
2014-01-08,P533B1,301.890356385
2014-01-08,P533B2,396.640688616
2014-01-08,P533B3,358.225384025
2014-01-08,P533B4,422.344671807
2014-01-08,P533B5,300.039969064
2014-01-08,P533B6,318.388719493
2014-01-08,P533B7,310.371373107
2014-01-08,P533B8,163.058760945
2014-01-08,P533B9,322.893757995
2014-01-08,P534B0,441.448603144
2014-01-08,P534B1,287.336808786
2014-01-08,P534B2,383.950419361
2014-01-08,P534B3,330.779843896
2014-01-08,P534B5,322.949232857
2014-01-08,P534B6,232.218777351
2014-01-08,P534B8,156.071316008
2014-01-09,P530B0,324.37886195
2014-01-09,P530B1,268.878019674
2014-01-09,P530B4,208.951032153
2014-01-09,P530B5,345.892985465
2014-01-09,P530B7,180.02033408
2014-01-09,P530B8,215.473486533
2014-01-09,P530B9,289.190239057
2014-01-09,P531B1,221.27410957
2014-01-09,P531B2,197.748929136
2014-01-09,P531B3,328.039870447
2014-01-09,P531B4,111.967904508
2014-01-09,P531B5,366.770485371
2014-01-09,P531B6,273.914128516
2014-01-09,P531B7,337.22888466
2014-01-09,P531B8,248.265894345
2014-01-09,P531B9,300.247039326
2014-01-09,P532B0,471.269376938
2014-01-09,P532B2,307.000151986
2014-01-09,P532B3,353.849921506
2014-01-09,P532B4,375.948166446
2014-01-09,P532B5,239.623995959
2014-01-09,P532B6,214.645780298
2014-01-09,P532B7,444.502477844
2014-01-09,P532B8,374.630921111
2014-01-09,P532B9,206.36109182
2014-01-09,P533B0,264.816739131
2014-01-09,P533B2,282.683105582
2014-01-09,P533B3,450.877630221
2014-01-09,P533B5,234.125161793
2014-01-09,P533B6,537.766377825
2014-01-09,P533B7,275.487978591
2014-01-09,P533B8,200.042852142
2014-01-09,P533B9,279.14678965
2014-01-09,P534B0,390.023608022
2014-01-09,P534B1,328.411531173
2014-01-09,P534B3,347.689987952
2014-01-09,P534B4,425.085451345
2014-01-09,P534B5,280.285410647
2014-01-09,P534B6,303.62097385
2014-01-09,P534B7,280.967300338
2014-01-09,P534B8,259.956797183
2014-01-09,P534B9,380.024686287
2014-01-10,P530B0,401.135119097
2014-01-10,P530B1,158.969537714
2014-01-10,P530B2,365.191300753
2014-01-10,P530B3,303.59294681
2014-01-10,P530B4,229.92159863
2014-01-10,P530B5,407.85776077
2014-01-10,P530B6,394.12623584
2014-01-10,P530B7,405.486682854
2014-01-10,P530B8,177.976462779
2014-01-10,P530B9,258.373484888
2014-01-10,P531B0,447.928767609
2014-01-10,P531B1,212.87529578
2014-01-10,P531B2,347.053289409
2014-01-10,P531B3,343.862716089
2014-01-10,P531B4,322.834547475
2014-01-10,P531B5,253.405988286
2014-01-10,P531B6,297.280123384
2014-01-10,P531B7,335.168601641
2014-01-10,P531B8,363.871696651
2014-01-10,P531B9,232.194319428
2014-01-10,P532B0,294.11017063
2014-01-10,P532B1,336.075065055
2014-01-10,P532B2,250.442600841
2014-01-10,P532B3,199.869377048
2014-01-10,P532B4,251.168463094
2014-01-10,P532B5,298.680604637
2014-01-10,P532B7,360.331406648
2014-01-10,P532B8,384.916527976
2014-01-10,P532B9,475.858852942
2014-01-10,P533B0,209.293947657
2014-01-10,P533B1,239.970056208
2014-01-10,P533B2,307.819633357
2014-01-10,P533B3,197.682325868
2014-01-10,P533B4,275.349711921
2014-01-10,P533B5,273.323797192
2014-01-10,P533B6,212.255784781
2014-01-10,P533B8,216.219466348
2014-01-10,P534B0,356.162361759
2014-01-10,P534B1,280.303907338
2014-01-10,P534B2,275.795313496
2014-01-10,P534B3,360.581917586
2014-01-10,P534B4,428.690348564
2014-01-10,P534B8,196.845946518
2014-01-10,P534B9,270.535867
2014-01-11,P530B0,394.228696842
2014-01-11,P530B1,488.796861032
2014-01-11,P530B3,277.893413399
2014-01-11,P530B4,600.779174146
2014-01-11,P530B5,373.541734693
2014-01-11,P530B6,460.814226518
2014-01-11,P530B9,319.350147776
2014-01-11,P531B0,227.341930381
2014-01-11,P531B1,174.378465836
2014-01-11,P531B3,327.031049127
2014-01-11,P531B4,299.514541069
2014-01-11,P531B5,276.253275866
2014-01-11,P531B6,365.050640069
2014-01-11,P531B7,341.657435309
2014-01-11,P531B8,282.707073823
2014-01-11,P531B9,352.249698337
2014-01-11,P532B0,319.05142025
2014-01-11,P532B1,332.597062257
2014-01-11,P532B3,365.116247595
2014-01-11,P532B4,271.502075501
2014-01-11,P532B5,394.122950377
2014-01-11,P532B6,210.273175223
2014-01-11,P532B7,341.073320305
2014-01-11,P532B8,261.949010945
2014-01-11,P532B9,252.541114117
2014-01-11,P533B0,187.695169819
